S18B20 test
(ms);P(kPa)
322;100,44
(ms);P(kPa)
333;100,44
(ms);P(kPa)
344;100,44
(ms);P(kPa)
355;100,44
(ms);P(kPa)
366;100,44
(ms);P(kPa)
377;100,44
(ms);P(kPa)
388;100,44
(ms);P(kPa)
399;100,44
(ms);P(kPa)
410;100,44
(ms);P(kPa)
421;100,44
(ms);P(kPa)
432;100,44
(ms);P(kPa)
443;100,44
(ms);P(kPa)
454;100,44
(ms);P(kPa)
465;100,44
(ms);P(kPa)
476;100,44
(ms);P(kPa)
487;100,44
(ms);P(kPa)
541;100,44
(ms);P(kPa)
551;100,44
(ms);P(kPa)
562;100,44
(ms);P(kPa)
573;100,44
(ms);P(kPa)
584;100,44
(ms);P(kPa)
595;100,44
(ms);P(kPa)
606;100,44
(ms);P(kPa)
617;100,44
(ms);P(kPa)
628;100,44
(ms);P(kPa)
639;100,44
(ms);P(kPa)
650;100,44
(ms);P(kPa)
661;100,44
(ms);P(kPa)
672;100,44
(ms);P(kPa)
683;100,44
(ms);P(kPa)
694;100,44
(ms);P(kPa)
705;100,44
(ms);P(kPa)
716;100,44
(ms);P(kPa)
728;100,44
(ms);P(kPa)
739;100,44
(ms);P(kPa)
791;100,44
(ms);P(kPa)
802;100,44
(ms);P(kPa)
814;100,44
(ms);P(kPa)
825;100,44
(ms);P(kPa)
836;100,44
(ms);P(kPa)
847;100,44
(ms);P(kPa)
858;100,44
(ms);P(kPa)
869;100,44
(ms);P(kPa)
880;100,44
(ms);P(kPa)
891;100,44
(ms);P(kPa)
902;100,44
(ms);P(kPa)
913;100,44
(ms);P(kPa)
924;100,44
(ms);P(kPa)
935;100,44
(ms);P(kPa)
946;100,44
DS18B20 test
t(ms);P(kPa)
19635;100,44
t(ms);P(kPa)
19646;100,44
t(ms);P(kPa)
19657;100,44
t(ms);P(kPa)
19668;100,44
t(ms);P(kPa)
19679;100,44
t(ms);P(kPa)
19690;100,44
t(ms);P(kPa)
19701;100,44
t(ms);P(kPa)
19712;100,44
t(ms);P(kPa)
19723;100,44
t(ms);P(kPa)
19734;100,44
t(ms);P(kPa)
19745;100,44
t(ms);P(kPa)
19756;100,44
t(ms);P(kPa)
19767;100,44
t(ms);P(kPa)
19778;100,44
t(ms);P(kPa)
19831;100,44
t(ms);P(kPa)
19842;100,44
t(ms);P(kPa)
19853;100,44
t(ms);P(kPa)
19864;100,44
t(ms);P(kPa)
19875;100,44
t(ms);P(kPa)
19886;100,44
t(ms);P(kPa)
19897;100,44
t(ms);P(kPa)
19908;100,44
t(ms);P(kPa)
19919;100,44
t(ms);P(kPa)
19930;100,44
t(ms);P(kPa)
19941;100,44
t(ms);P(kPa)
19952;100,44
t(ms);P(kPa)
19963;100,44
t(ms);P(kPa)
19974;100,44
t(ms);P(kPa)
19985;100,44
t(ms);P(kPa)
19996;100,44
t(ms);P(kPa)
20007;100,44
t(ms);P(kPa)
20018;100,44
t(ms);P(kPa)
20029;100,44
t(ms);P(kPa)
20083;100,44
t(ms);P(kPa)
20094;100,44
t(ms);P(kPa)
20105;100,44
t(ms);P(kPa)
20116;100,44
t(ms);P(kPa)
20127;100,44
t(ms);P(kPa)
20139;100,44
t(ms);P(kPa)
20150;100,44
t(ms);P(kPa)
20161;100,44
t(ms);P(kPa)
20172;100,44
t(ms);P(kPa)
20183;100,44
t(ms);T(\xc2\xb0C)
20226;28,19
t(ms);P(kPa)
20254;100,44
t(ms);P(kPa)
20264;100,44
t(ms);P(kPa)
20275;100,44
t(ms);P(kPa)
20333;100,44
t(ms);P(kPa)
20344;100,44
t(ms);P(kPa)
20355;100,44
t(ms);P(kPa)
20366;100,44
t(ms);P(kPa)
20377;100,44
t(ms);P(kPa)
28116;100,44
t(ms);P(kPa)
28126;100,44
t(ms);P(kPa)
28137;100,44
t(ms);P(kPa)
28148;100,44
t(ms);P(kPa)
28160;100,44
t(ms);P(kPa)
28171;100,44
t(ms);P(kPa)
28182;100,44
